Date,Open,High,Low,Close
05/12/2021,"0.5096","0.5336","0.4348","0.4722"
05/11/2021,"0.4539","0.5460","0.4356","0.5084"
05/10/2021,"0.5719","0.5897","0.4250","0.4589"
05/09/2021,"0.6729","0.7000","0.4245","0.5680"
05/08/2021,"0.6476","0.7387","0.6030","0.6743"
05/07/2021,"0.5923","0.6581","0.5200","0.6525"
05/06/2021,"0.6044","0.6733","0.5400","0.5925"
05/05/2021,"0.5520","0.6953","0.5218","0.6011"
05/04/2021,"0.4230","0.6077","0.4025","0.5496"
05/03/2021,"0.3885","0.4240","0.3741","0.4232"
05/02/2021,"0.3652","0.3999","0.3630","0.3885"
05/01/2021,"0.3291","0.3734","0.3276","0.3652"
04/30/2021,"0.3036","0.3398","0.3031","0.3293"
04/29/2021,"0.3076","0.3263","0.2973","0.3042"
04/28/2021,"0.2700","0.3417","0.2569","0.3065"
04/27/2021,"0.2662","0.2798","0.2598","0.2706"
04/26/2021,"0.2451","0.2807","0.2255","0.2666"
04/25/2021,"0.2786","0.2895","0.2411","0.2438"
04/24/2021,"0.2392","0.2889","0.2290","0.2788"
04/23/2021,"0.2672","0.2753","0.1651","0.2372"
04/22/2021,"0.3147","0.3323","0.2581","0.2680"
04/21/2021,"0.2990","0.3498","0.2735","0.3132"
04/20/2021,"0.3850","0.4240","0.2992","0.2994"
04/19/2021,"0.3390","0.4350","0.3102","0.3902"
04/18/2021,"0.3051","0.3500","0.2415","0.3357"
04/17/2021,"0.3550","0.3990","0.2319","0.3031"
04/16/2021,"0.1890","0.4505","0.1694","0.3501"
04/15/2021,"0.1427","0.1960","0.1252","0.1900"
